Year,Pick #,Manager,Player Drafted,FAAB Remaining
2025,1,Rich,Ja'Marr Chase,32
2025,2,Vivian,Bijan Robinson,0
2025,3,Eric Chow,Saquon Barkley,15
2025,4,Mars,Justin Jefferson,50
2025,5,Ryan,CeeDee Lamb,0
2025,6,Eddie,Nico Collins,61
2025,7,Emily,Tyreek Hill,19
2025,8,Markus,Derrick Henry,100
2025,9,Eric Lew,Christian McCaffrey,55
2025,10,Randall,Amon-Ra St. Brown,85
2025,11,Tuan,Ashton Jeanty,100
2025,12,Jane,Malik Nabers,3
2024,1,Tuan,Christian McCaffrey,20
2024,2,Ryan,Tyreek Hill,14
2024,3,Mars,Bijan Robinson,0
2024,4,Jane,Justin Jefferson,40
2024,5,Eric Chow,Amon-Ra St. Brown,0
2024,6,Rich,CeeDee Lamb,19
2024,7,Eric Lew,Ja'Marr Chase,1
2024,8,Eddie,Garrett Wilson,26
2024,9,Vivian,Kyren Williams,12
2024,10,Markus,A.J. Brown,35
2023,1,Jane/Ryan,Justin Jefferson,0
2023,2,Tuan,Bijan Robinson,13
2023,3,Markus,Ja'Marr Chase,38
2023,4,Eric Lew,Christian McCaffrey,100
2023,5,Eddie,Tyreek Hill,4
2023,6,Eric Chow,Austin Ekeler,0
2023,7,Mars,Travis Kelce,99
2023,8,Rich,Stefon Diggs,0
2023,9,Vivian,A.J. Brown,17
2023,10,Emily,Nick Chubb,23
2022,1,Jane/Ryan,Jonathan Taylor,0
2022,2,Rich,Christian McCaffrey,1
2022,3,Markus,Justin Jefferson,75
2022,4,Mars,Derrick Henry,36
2022,5,Tuan,Cooper Kupp,100
2022,6,Vivian,Dalvin Cook,44
2022,7,Eddie,Austin Ekeler,37
2022,8,Emily,Ja'Marr Chase,76
2022,9,Eric Chow,Joe Mixon,1
2022,10,Eric Lew,Stefon Diggs,80
2021,1,Eric Chow,Christian McCaffrey,72
2021,2,Rich,Dalvin Cook,0
2021,3,Jane,Derrick Henry,2
2021,4,Vivian,Alvin Kamara,25
2021,5,Jeremy,Ezekiel Elliott,90
2021,6,Jason R.,Nick Chubb,100
2021,7,Markus,Saquon Barkley,95
2021,8,Tuan,Davante Adams,95
2021,9,Eddie,Aaron Jones Sr.,0
2021,10,Emily,Tyreek Hill,96
2021,11,Ryan,Travis Kelce,0
2021,12,Eric Lew,Austin Ekeler,45
2020,1,Ryan,Christian McCaffrey,25
2020,2,Vivian,Saquon Barkley,24
2020,3,Rich,Ezekiel Elliott,0
2020,4,Eric Chow,Alvin Kamara,97
2020,5,Jaymond,Michael Thomas,83
2020,6,Eddie,Dalvin Cook,47
2020,7,Tuan,Clyde Edwards-Helaire,100
2020,8,Emily,Derrick Henry,52
2020,9,Jane,Davante Adams,47
2020,10,Eric Lew,Tyreek Hill,30
2020,11,Markus,Nick Chubb,35
2020,12,Jason R.,Joe Mixon,100
2019,1,Ryan,Saquon Barkley,13
2019,2,Markus,Christian McCaffrey,29
2019,3,Tuan,Ezekiel Elliott,100
2019,4,Jane,Alvin Kamara,16
2019,5,Jaymond,Nick Chubb,0
2019,6,Jason R.,DeAndre Hopkins,74
2019,7,Vivian,Davante Adams,37
2019,8,Eddie,David Johnson,1
2019,9,Rich,Julio Jones,0
2019,10,Eric Lew,James Conner,100
2019,11,Emily,Michael Thomas,96
